event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2
2023-10-11 23:30:00,DraftKings,Florida International Panthers,UTEP Miners,-125,105
2023-10-11 23:30:00,FanDuel,Florida International Panthers,UTEP Miners,-128,106
2023-10-11 23:30:00,Bovada,Florida International Panthers,UTEP Miners,-135,115
2023-10-11 23:30:00,Unibet,Florida International Panthers,UTEP Miners,-129,105
2023-10-11 23:30:00,TwinSpires,Florida International Panthers,UTEP Miners,-110,-110
2023-10-11 23:30:00,BetRivers,Florida International Panthers,UTEP Miners,-129,105
2023-10-11 23:30:00,Barstool Sportsbook,Florida International Panthers,UTEP Miners,-135,115
2023-10-11 23:30:00,BetMGM,Florida International Panthers,UTEP Miners,-135,110
2023-10-11 23:30:00,PointsBet (US),Florida International Panthers,UTEP Miners,-131,110
2023-10-11 23:30:00,Caesars,Florida International Panthers,UTEP Miners,-135,115
2023-10-11 23:30:00,BetOnline.ag,Florida International Panthers,UTEP Miners,-135,115
2023-10-11 23:30:00,SuperBook,Florida International Panthers,UTEP Miners,-140,120
2023-10-11 23:30:00,BetUS,Florida International Panthers,UTEP Miners,-135,115
2023-10-11 23:30:00,LowVig.ag,Florida International Panthers,UTEP Miners,-135,115
2023-10-11 23:30:00,WynnBET,Florida International Panthers,UTEP Miners,-130,112
2023-10-11 23:30:00,MyBookie.ag,Florida International Panthers,UTEP Miners,-123,-102
2023-10-12 01:00:00,DraftKings,New Mexico State Aggies,Sam Houston State Bearkats,-170,142
2023-10-12 01:00:00,FanDuel,New Mexico State Aggies,Sam Houston State Bearkats,-176,146
2023-10-12 01:00:00,Bovada,New Mexico State Aggies,Sam Houston State Bearkats,-170,145
2023-10-12 01:00:00,TwinSpires,New Mexico State Aggies,Sam Houston State Bearkats,-109,-112
2023-10-12 01:00:00,BetRivers,New Mexico State Aggies,Sam Houston State Bearkats,-175,135
2023-10-12 01:00:00,Unibet,New Mexico State Aggies,Sam Houston State Bearkats,-175,135
