event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market,spread_f1,spread_f2
2023-10-13 00:16:00,FanDuel,Denver Broncos,Kansas City Chiefs,460,-620,h2h,,
2023-10-13 00:16:00,FanDuel,Denver Broncos,Kansas City Chiefs,-110,-110,spreads,10.5,-10.5
2023-10-13 00:16:00,BetUS,Denver Broncos,Kansas City Chiefs,480,-650,h2h,,
2023-10-13 00:16:00,BetUS,Denver Broncos,Kansas City Chiefs,-110,-110,spreads,10.5,-10.5
2023-10-13 00:16:00,DraftKings,Denver Broncos,Kansas City Chiefs,400,-535,h2h,,
2023-10-13 00:16:00,DraftKings,Denver Broncos,Kansas City Chiefs,-110,-110,spreads,10.5,-10.5
2023-10-13 00:16:00,MyBookie.ag,Denver Broncos,Kansas City Chiefs,420,-598,h2h,,
2023-10-13 00:16:00,MyBookie.ag,Denver Broncos,Kansas City Chiefs,-110,-110,spreads,10.5,-10.5
2023-10-13 00:16:00,SuperBook,Denver Broncos,Kansas City Chiefs,450,-650,h2h,,
2023-10-13 00:16:00,SuperBook,Denver Broncos,Kansas City Chiefs,-110,-110,spreads,10.5,-10.5
2023-10-13 00:16:00,BetOnline.ag,Denver Broncos,Kansas City Chiefs,460,-588,h2h,,
2023-10-13 00:16:00,BetOnline.ag,Denver Broncos,Kansas City Chiefs,-110,-110,spreads,10.5,-10.5
2023-10-13 00:16:00,LowVig.ag,Denver Broncos,Kansas City Chiefs,460,-599,h2h,,
2023-10-13 00:16:00,LowVig.ag,Denver Broncos,Kansas City Chiefs,-105,-105,spreads,10.5,-10.5
2023-10-13 00:16:00,Caesars,Denver Broncos,Kansas City Chiefs,430,-600,h2h,,
2023-10-13 00:16:00,Caesars,Denver Broncos,Kansas City Chiefs,-110,-110,spreads,10.5,-10.5
2023-10-13 00:16:00,Bovada,Denver Broncos,Kansas City Chiefs,425,-600,h2h,,
2023-10-13 00:16:00,Bovada,Denver Broncos,Kansas City Chiefs,-115,-105,spreads,10.5,-10.5
