event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market
2023-10-11 21:07:00,DraftKings,Atlanta Braves,Philadelphia Phillies,105,-125,h2h
2023-10-11 21:07:00,DraftKings,Atlanta Braves,Philadelphia Phillies,160,-192,spreads
2023-10-11 21:07:00,FanDuel,Atlanta Braves,Philadelphia Phillies,104,-122,h2h
2023-10-11 21:07:00,FanDuel,Atlanta Braves,Philadelphia Phillies,-188,155,spreads
2023-10-11 21:07:00,LowVig.ag,Atlanta Braves,Philadelphia Phillies,108,-118,h2h
2023-10-11 21:07:00,LowVig.ag,Atlanta Braves,Philadelphia Phillies,-178,162,spreads
2023-10-11 21:07:00,PointsBet (US),Atlanta Braves,Philadelphia Phillies,100,-120,h2h
2023-10-11 21:07:00,PointsBet (US),Atlanta Braves,Philadelphia Phillies,-190,160,spreads
2023-10-11 21:07:00,BetOnline.ag,Atlanta Braves,Philadelphia Phillies,108,-118,h2h
2023-10-11 21:07:00,BetOnline.ag,Atlanta Braves,Philadelphia Phillies,-179,160,spreads
2023-10-11 21:07:00,Caesars,Atlanta Braves,Philadelphia Phillies,100,-120,h2h
2023-10-11 21:07:00,Caesars,Atlanta Braves,Philadelphia Phillies,-190,158,spreads
2023-10-11 21:07:00,Barstool Sportsbook,Atlanta Braves,Philadelphia Phillies,105,-125,h2h
2023-10-11 21:07:00,Barstool Sportsbook,Atlanta Braves,Philadelphia Phillies,-190,160,spreads
2023-10-11 21:07:00,BetMGM,Atlanta Braves,Philadelphia Phillies,105,-125,h2h
2023-10-11 21:07:00,BetMGM,Atlanta Braves,Philadelphia Phillies,-185,150,spreads
2023-10-11 21:07:00,MyBookie.ag,Atlanta Braves,Philadelphia Phillies,104,-126,h2h
2023-10-11 21:07:00,MyBookie.ag,Atlanta Braves,Philadelphia Phillies,-192,155,spreads
2023-10-11 21:07:00,SuperBook,Atlanta Braves,Philadelphia Phillies,107,-126,h2h
2023-10-11 21:07:00,WynnBET,Atlanta Braves,Philadelphia Phillies,108,-118,h2h
2023-10-11 21:07:00,WynnBET,Atlanta Braves,Philadelphia Phillies,-185,155,spreads
2023-10-11 21:07:00,TwinSpires,Atlanta Braves,Philadelphia Phillies,108,-127,h2h
2023-10-11 21:07:00,TwinSpires,Atlanta Braves,Philadelphia Phillies,-200,160,spreads
2023-10-11 21:07:00,BetRivers,Atlanta Braves,Philadelphia Phillies,108,-127,h2h
2023-10-11 21:07:00,BetRivers,Atlanta Braves,Philadelphia Phillies,-200,160,spreads
2023-10-11 21:07:00,Unibet,Atlanta Braves,Philadelphia Phillies,108,-127,h2h
2023-10-11 21:07:00,Unibet,Atlanta Braves,Philadelphia Phillies,-200,160,spreads
2023-10-11 21:07:00,Bovada,Atlanta Braves,Philadelphia Phillies,106,-126,h2h
2023-10-11 21:07:00,Bovada,Atlanta Braves,Philadelphia Phillies,-180,155,spreads
2023-10-11 21:07:00,BetUS,Atlanta Braves,Philadelphia Phillies,110,-120,h2h
2023-10-11 21:07:00,BetUS,Atlanta Braves,Philadelphia Phillies,-190,160,spreads
2023-10-11 23:07:00,DraftKings,Houston Astros,Minnesota Twins,105,-125,h2h
2023-10-11 23:07:00,DraftKings,Houston Astros,Minnesota Twins,-192,160,spreads
2023-10-11 23:07:00,FanDuel,Houston Astros,Minnesota Twins,106,-124,h2h
2023-10-11 23:07:00,FanDuel,Houston Astros,Minnesota Twins,-200,164,spreads
2023-10-11 23:07:00,PointsBet (US),Houston Astros,Minnesota Twins,105,-125,h2h
2023-10-11 23:07:00,PointsBet (US),Houston Astros,Minnesota Twins,-210,175,spreads
2023-10-11 23:07:00,Barstool Sportsbook,Houston Astros,Minnesota Twins,105,-125,h2h
2023-10-11 23:07:00,Barstool Sportsbook,Houston Astros,Minnesota Twins,-200,165,spreads
2023-10-11 23:07:00,SuperBook,Houston Astros,Minnesota Twins,105,-122,h2h
2023-10-11 23:07:00,MyBookie.ag,Houston Astros,Minnesota Twins,105,-128,h2h
