event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market
2023-10-24 23:30:00,DraftKings,Denver Nuggets,Los Angeles Lakers,-205,170,h2h
2023-10-24 23:30:00,DraftKings,Denver Nuggets,Los Angeles Lakers,-110,-110,spreads
2023-10-24 23:30:00,FanDuel,Denver Nuggets,Los Angeles Lakers,-215,180,h2h
2023-10-24 23:30:00,FanDuel,Denver Nuggets,Los Angeles Lakers,-102,-120,spreads
2023-10-24 23:30:00,Caesars,Denver Nuggets,Los Angeles Lakers,-205,170,h2h
2023-10-24 23:30:00,Caesars,Denver Nuggets,Los Angeles Lakers,-110,-110,spreads
2023-10-24 23:30:00,Bovada,Denver Nuggets,Los Angeles Lakers,-210,175,h2h
2023-10-24 23:30:00,Bovada,Denver Nuggets,Los Angeles Lakers,-110,-110,spreads
2023-10-24 23:30:00,SuperBook,Denver Nuggets,Los Angeles Lakers,-110,-110,spreads
2023-10-24 23:30:00,BetOnline.ag,Denver Nuggets,Los Angeles Lakers,-105,-115,spreads
2023-10-24 23:30:00,LowVig.ag,Denver Nuggets,Los Angeles Lakers,100,-110,spreads
2023-10-24 23:30:00,BetMGM,Denver Nuggets,Los Angeles Lakers,-210,170,h2h
2023-10-24 23:30:00,BetMGM,Denver Nuggets,Los Angeles Lakers,-115,-105,spreads
2023-10-24 23:30:00,BetRivers,Denver Nuggets,Los Angeles Lakers,-205,170,h2h
2023-10-24 23:30:00,BetRivers,Denver Nuggets,Los Angeles Lakers,-107,-113,spreads
2023-10-24 23:30:00,Unibet,Denver Nuggets,Los Angeles Lakers,-205,170,h2h
2023-10-24 23:30:00,Unibet,Denver Nuggets,Los Angeles Lakers,-107,-113,spreads
2023-10-24 23:30:00,MyBookie.ag,Denver Nuggets,Los Angeles Lakers,-196,157,h2h
2023-10-24 23:30:00,MyBookie.ag,Denver Nuggets,Los Angeles Lakers,-110,-110,spreads
2023-10-24 23:30:00,Barstool Sportsbook,Denver Nuggets,Los Angeles Lakers,-210,160,h2h
2023-10-24 23:30:00,Barstool Sportsbook,Denver Nuggets,Los Angeles Lakers,-110,-110,spreads
2023-10-24 23:30:00,PointsBet (US),Denver Nuggets,Los Angeles Lakers,-200,165,h2h
2023-10-24 23:30:00,PointsBet (US),Denver Nuggets,Los Angeles Lakers,-110,-110,spreads
2023-10-24 23:30:00,TwinSpires,Denver Nuggets,Los Angeles Lakers,-205,170,h2h
2023-10-24 23:30:00,TwinSpires,Denver Nuggets,Los Angeles Lakers,-107,-113,spreads
2023-10-25 02:00:00,DraftKings,Golden State Warriors,Phoenix Suns,-110,-110,h2h
2023-10-25 02:00:00,DraftKings,Golden State Warriors,Phoenix Suns,-105,-115,spreads
2023-10-25 02:00:00,FanDuel,Golden State Warriors,Phoenix Suns,-106,-110,h2h
2023-10-25 02:00:00,FanDuel,Golden State Warriors,Phoenix Suns,-115,-105,spreads
2023-10-25 02:00:00,Caesars,Golden State Warriors,Phoenix Suns,-110,-110,h2h
2023-10-25 02:00:00,Caesars,Golden State Warriors,Phoenix Suns,-110,-110,spreads
2023-10-25 02:00:00,Bovada,Golden State Warriors,Phoenix Suns,-115,-105,h2h
2023-10-25 02:00:00,Bovada,Golden State Warriors,Phoenix Suns,-105,-115,spreads
2023-10-25 02:00:00,SuperBook,Golden State Warriors,Phoenix Suns,-110,-110,spreads
2023-10-25 02:00:00,BetOnline.ag,Golden State Warriors,Phoenix Suns,-116,-104,spreads
2023-10-25 02:00:00,LowVig.ag,Golden State Warriors,Phoenix Suns,-108,-102,spreads
2023-10-25 02:00:00,BetMGM,Golden State Warriors,Phoenix Suns,-120,100,h2h
2023-10-25 02:00:00,BetMGM,Golden State Warriors,Phoenix Suns,-110,-110,spreads
2023-10-25 02:00:00,BetRivers,Golden State Warriors,Phoenix Suns,-103,-117,h2h
2023-10-25 02:00:00,BetRivers,Golden State Warriors,Phoenix Suns,-108,-113,spreads
2023-10-25 02:00:00,Unibet,Golden State Warriors,Phoenix Suns,-103,-117,h2h
2023-10-25 02:00:00,Unibet,Golden State Warriors,Phoenix Suns,-108,-113,spreads
2023-10-25 02:00:00,MyBookie.ag,Golden State Warriors,Phoenix Suns,-116,-105,h2h
2023-10-25 02:00:00,MyBookie.ag,Golden State Warriors,Phoenix Suns,-110,-110,spreads
2023-10-25 02:00:00,PointsBet (US),Golden State Warriors,Phoenix Suns,-115,-105,h2h
2023-10-25 02:00:00,PointsBet (US),Golden State Warriors,Phoenix Suns,-110,-110,spreads
2023-10-25 02:00:00,TwinSpires,Golden State Warriors,Phoenix Suns,-103,-117,h2h
2023-10-25 02:00:00,TwinSpires,Golden State Warriors,Phoenix Suns,-108,-113,spreads
2023-10-25 23:00:00,FanDuel,Atlanta Hawks,Charlotte Hornets,-118,100,h2h
2023-10-25 23:00:00,FanDuel,Atlanta Hawks,Charlotte Hornets,-110,-110,spreads
2023-10-25 23:00:00,DraftKings,Atlanta Hawks,Charlotte Hornets,-125,105,h2h
2023-10-25 23:00:00,DraftKings,Atlanta Hawks,Charlotte Hornets,-110,-110,spreads
2023-10-25 23:00:00,BetMGM,Atlanta Hawks,Charlotte Hornets,-125,105,h2h
2023-10-25 23:00:00,BetMGM,Atlanta Hawks,Charlotte Hornets,-110,-110,spreads
2023-10-25 23:00:00,MyBookie.ag,Atlanta Hawks,Charlotte Hornets,-125,102,h2h
2023-10-25 23:00:00,MyBookie.ag,Atlanta Hawks,Charlotte Hornets,-110,-110,spreads
2023-10-25 23:00:00,Caesars,Atlanta Hawks,Charlotte Hornets,-125,105,h2h
2023-10-25 23:00:00,Caesars,Atlanta Hawks,Charlotte Hornets,-110,-110,spreads
2023-10-25 23:00:00,LowVig.ag,Atlanta Hawks,Charlotte Hornets,-105,-105,spreads
2023-10-25 23:00:00,BetOnline.ag,Atlanta Hawks,Charlotte Hornets,-110,-110,spreads
2023-10-25 23:00:00,Bovada,Atlanta Hawks,Charlotte Hornets,-125,105,h2h
2023-10-25 23:00:00,Bovada,Atlanta Hawks,Charlotte Hornets,-110,-110,spreads
2023-10-25 23:00:00,Barstool Sportsbook,Atlanta Hawks,Charlotte Hornets,-125,100,h2h
2023-10-25 23:00:00,Barstool Sportsbook,Atlanta Hawks,Charlotte Hornets,-110,-110,spreads
2023-10-25 23:00:00,Unibet,Atlanta Hawks,Charlotte Hornets,-124,102,h2h
2023-10-25 23:00:00,Unibet,Atlanta Hawks,Charlotte Hornets,-112,-109,spreads
2023-10-25 23:00:00,BetRivers,Atlanta Hawks,Charlotte Hornets,-124,102,h2h
2023-10-25 23:00:00,BetRivers,Atlanta Hawks,Charlotte Hornets,-112,-109,spreads
2023-10-25 23:00:00,TwinSpires,Atlanta Hawks,Charlotte Hornets,-124,102,h2h
2023-10-25 23:00:00,TwinSpires,Atlanta Hawks,Charlotte Hornets,-112,-109,spreads
2023-10-25 23:00:00,FanDuel,Boston Celtics,New York Knicks,-130,110,h2h
2023-10-25 23:00:00,FanDuel,Boston Celtics,New York Knicks,-115,-105,spreads
2023-10-25 23:00:00,DraftKings,Boston Celtics,New York Knicks,-135,114,h2h
2023-10-25 23:00:00,DraftKings,Boston Celtics,New York Knicks,-110,-110,spreads
2023-10-25 23:00:00,BetMGM,Boston Celtics,New York Knicks,-125,105,h2h
2023-10-25 23:00:00,BetMGM,Boston Celtics,New York Knicks,-110,-110,spreads
2023-10-25 23:00:00,MyBookie.ag,Boston Celtics,New York Knicks,-135,110,h2h
2023-10-25 23:00:00,MyBookie.ag,Boston Celtics,New York Knicks,-110,-110,spreads
2023-10-25 23:00:00,Caesars,Boston Celtics,New York Knicks,-135,115,h2h
2023-10-25 23:00:00,Caesars,Boston Celtics,New York Knicks,-110,-110,spreads
2023-10-25 23:00:00,LowVig.ag,Boston Celtics,New York Knicks,-105,-105,spreads
2023-10-25 23:00:00,BetOnline.ag,Boston Celtics,New York Knicks,-110,-110,spreads
2023-10-25 23:00:00,Bovada,Boston Celtics,New York Knicks,-135,115,h2h
2023-10-25 23:00:00,Bovada,Boston Celtics,New York Knicks,-110,-110,spreads
2023-10-25 23:00:00,Barstool Sportsbook,Boston Celtics,New York Knicks,-135,110,h2h
2023-10-25 23:00:00,Barstool Sportsbook,Boston Celtics,New York Knicks,-110,-110,spreads
2023-10-25 23:00:00,BetRivers,Boston Celtics,New York Knicks,-136,112,h2h
2023-10-25 23:00:00,BetRivers,Boston Celtics,New York Knicks,-109,-112,spreads
2023-10-25 23:00:00,Unibet,Boston Celtics,New York Knicks,-136,112,h2h
2023-10-25 23:00:00,Unibet,Boston Celtics,New York Knicks,-109,-112,spreads
2023-10-25 23:00:00,TwinSpires,Boston Celtics,New York Knicks,-136,112,h2h
2023-10-25 23:00:00,TwinSpires,Boston Celtics,New York Knicks,-109,-112,spreads
2023-10-25 23:00:00,FanDuel,Houston Rockets,Orlando Magic,128,-152,h2h
2023-10-25 23:00:00,FanDuel,Houston Rockets,Orlando Magic,-106,-114,spreads
2023-10-25 23:00:00,DraftKings,Houston Rockets,Orlando Magic,136,-162,h2h
2023-10-25 23:00:00,DraftKings,Houston Rockets,Orlando Magic,-110,-110,spreads
2023-10-25 23:00:00,BetMGM,Houston Rockets,Orlando Magic,135,-160,h2h
2023-10-25 23:00:00,BetMGM,Houston Rockets,Orlando Magic,-115,-105,spreads
2023-10-25 23:00:00,MyBookie.ag,Houston Rockets,Orlando Magic,127,-156,h2h
2023-10-25 23:00:00,MyBookie.ag,Houston Rockets,Orlando Magic,-110,-110,spreads
2023-10-25 23:00:00,Caesars,Houston Rockets,Orlando Magic,135,-160,h2h
2023-10-25 23:00:00,Caesars,Houston Rockets,Orlando Magic,-110,-110,spreads
2023-10-25 23:00:00,LowVig.ag,Houston Rockets,Orlando Magic,-105,-105,spreads
2023-10-25 23:00:00,BetOnline.ag,Houston Rockets,Orlando Magic,-110,-110,spreads
2023-10-25 23:00:00,Bovada,Houston Rockets,Orlando Magic,135,-160,h2h
2023-10-25 23:00:00,Bovada,Houston Rockets,Orlando Magic,-110,-110,spreads
2023-10-25 23:00:00,Barstool Sportsbook,Houston Rockets,Orlando Magic,130,-160,h2h
