event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market
2023-10-11 23:00:00,Bovada,Carolina Hurricanes,Ottawa Senators,-800,475,h2h
2023-10-11 23:00:00,Bovada,Carolina Hurricanes,Ottawa Senators,-170,130,spreads
2023-10-11 23:00:00,Unibet,Carolina Hurricanes,Ottawa Senators,-500,320,spreads
2023-10-11 23:00:00,FanDuel,Carolina Hurricanes,Ottawa Senators,-138,108,spreads
2023-10-11 23:00:00,TwinSpires,Carolina Hurricanes,Ottawa Senators,-500,320,spreads
2023-10-11 23:00:00,Caesars,Carolina Hurricanes,Ottawa Senators,-200000,6000,h2h
2023-10-11 23:00:00,BetMGM,Carolina Hurricanes,Ottawa Senators,-10000,1600,h2h
2023-10-11 23:00:00,BetMGM,Carolina Hurricanes,Ottawa Senators,260,-375,spreads
2023-10-11 23:00:00,Barstool Sportsbook,Carolina Hurricanes,Ottawa Senators,-20000,4000,h2h
2023-10-11 23:00:00,Bovada,Montréal Canadiens,Toronto Maple Leafs,110,-145,h2h
2023-10-11 23:00:00,Bovada,Montréal Canadiens,Toronto Maple Leafs,135,-175,spreads
2023-10-11 23:00:00,Unibet,Montréal Canadiens,Toronto Maple Leafs,104,-129,h2h
2023-10-11 23:00:00,FanDuel,Montréal Canadiens,Toronto Maple Leafs,-104,-122,h2h
2023-10-11 23:00:00,TwinSpires,Montréal Canadiens,Toronto Maple Leafs,102,-125,h2h
2023-10-11 23:00:00,Caesars,Montréal Canadiens,Toronto Maple Leafs,110,-140,h2h
2023-10-11 23:00:00,Barstool Sportsbook,Montréal Canadiens,Toronto Maple Leafs,-105,-125,h2h
2023-10-11 23:00:00,BetMGM,Montréal Canadiens,Toronto Maple Leafs,115,-145,h2h
2023-10-11 23:00:00,PointsBet (US),Montréal Canadiens,Toronto Maple Leafs,-105,-125,h2h
2023-10-11 23:30:00,Bovada,Boston Bruins,Chicago Blackhawks,-1200,650,h2h
2023-10-11 23:30:00,Bovada,Boston Bruins,Chicago Blackhawks,-130,100,spreads
2023-10-11 23:30:00,Unibet,Boston Bruins,Chicago Blackhawks,-1430,800,h2h
2023-10-11 23:30:00,Unibet,Boston Bruins,Chicago Blackhawks,-122,-109,spreads
2023-10-11 23:30:00,FanDuel,Boston Bruins,Chicago Blackhawks,-2500,900,h2h
2023-10-11 23:30:00,FanDuel,Boston Bruins,Chicago Blackhawks,-125,-102,spreads
2023-10-11 23:30:00,TwinSpires,Boston Bruins,Chicago Blackhawks,-1667,800,h2h
2023-10-11 23:30:00,TwinSpires,Boston Bruins,Chicago Blackhawks,-117,-114,spreads
2023-10-11 23:30:00,Caesars,Boston Bruins,Chicago Blackhawks,-1300,700,h2h
2023-10-11 23:30:00,Caesars,Boston Bruins,Chicago Blackhawks,-150,120,spreads
2023-10-11 23:30:00,BetMGM,Boston Bruins,Chicago Blackhawks,-1200,700,h2h
2023-10-11 23:30:00,BetMGM,Boston Bruins,Chicago Blackhawks,-110,-120,spreads
2023-10-11 23:30:00,Barstool Sportsbook,Boston Bruins,Chicago Blackhawks,-2000,900,h2h
2023-10-11 23:30:00,PointsBet (US),Boston Bruins,Chicago Blackhawks,-1749,900,h2h
2023-10-12 02:10:00,DraftKings,Calgary Flames,Winnipeg Jets,-135,114,h2h
2023-10-12 02:10:00,DraftKings,Calgary Flames,Winnipeg Jets,180,-218,spreads
2023-10-12 02:10:00,LowVig.ag,Calgary Flames,Winnipeg Jets,-138,123,h2h
2023-10-12 02:10:00,LowVig.ag,Calgary Flames,Winnipeg Jets,178,-202,spreads
2023-10-12 02:10:00,Bovada,Calgary Flames,Winnipeg Jets,-140,120,h2h
2023-10-12 02:10:00,Bovada,Calgary Flames,Winnipeg Jets,175,-210,spreads
2023-10-12 02:10:00,Unibet,Calgary Flames,Winnipeg Jets,-136,112,h2h
2023-10-12 02:10:00,Unibet,Calgary Flames,Winnipeg Jets,175,-220,spreads
2023-10-12 02:10:00,FanDuel,Calgary Flames,Winnipeg Jets,-140,116,h2h
2023-10-12 02:10:00,FanDuel,Calgary Flames,Winnipeg Jets,168,-205,spreads
2023-10-12 02:10:00,BetRivers,Calgary Flames,Winnipeg Jets,-136,112,h2h
2023-10-12 02:10:00,BetRivers,Calgary Flames,Winnipeg Jets,175,-220,spreads
2023-10-12 02:10:00,TwinSpires,Calgary Flames,Winnipeg Jets,-136,112,h2h
2023-10-12 02:10:00,TwinSpires,Calgary Flames,Winnipeg Jets,175,-220,spreads
2023-10-12 02:10:00,BetOnline.ag,Calgary Flames,Winnipeg Jets,-139,123,h2h
2023-10-12 02:10:00,BetOnline.ag,Calgary Flames,Winnipeg Jets,175,-204,spreads
2023-10-12 02:10:00,Caesars,Calgary Flames,Winnipeg Jets,-135,115,h2h
2023-10-12 02:10:00,Caesars,Calgary Flames,Winnipeg Jets,175,-210,spreads
2023-10-12 02:10:00,BetMGM,Calgary Flames,Winnipeg Jets,-135,115,h2h
2023-10-12 02:10:00,BetMGM,Calgary Flames,Winnipeg Jets,180,-225,spreads
