event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2,market
2023-10-14 20:00:00,BetRivers,Ashley Yoder,Emily Ducote,300,-400,h2h
2023-10-14 20:00:00,LowVig.ag,Ashley Yoder,Emily Ducote,275,-350,h2h
2023-10-14 20:00:00,Bovada,Ashley Yoder,Emily Ducote,300,-385,h2h
2023-10-14 20:00:00,TwinSpires,Ashley Yoder,Emily Ducote,300,-400,h2h
2023-10-14 20:00:00,Unibet,Ashley Yoder,Emily Ducote,300,-400,h2h
2023-10-14 20:00:00,BetOnline.ag,Ashley Yoder,Emily Ducote,275,-345,h2h
2023-10-14 20:00:00,WynnBET,Ashley Yoder,Emily Ducote,295,-370,h2h
2023-10-14 20:00:00,DraftKings,Ashley Yoder,Emily Ducote,295,-375,h2h
2023-10-14 20:00:00,FanDuel,Ashley Yoder,Emily Ducote,280,-390,h2h
2023-10-14 20:00:00,BetUS,Ashley Yoder,Emily Ducote,250,-350,h2h
2023-10-14 20:00:00,BetMGM,Ashley Yoder,Emily Ducote,290,-375,h2h
2023-10-14 20:00:00,Caesars,Ashley Yoder,Emily Ducote,300,-380,h2h
2023-10-14 20:00:00,SuperBook,Ashley Yoder,Emily Ducote,300,-400,h2h
2023-10-14 20:00:00,BetRivers,Darren Elkins,TJ Brown,143,-180,h2h
2023-10-14 20:00:00,LowVig.ag,Darren Elkins,TJ Brown,155,-180,h2h
2023-10-14 20:00:00,Bovada,Darren Elkins,TJ Brown,155,-185,h2h
2023-10-14 20:00:00,TwinSpires,Darren Elkins,TJ Brown,143,-180,h2h
2023-10-14 20:00:00,Unibet,Darren Elkins,TJ Brown,143,-180,h2h
2023-10-14 20:00:00,BetOnline.ag,Darren Elkins,TJ Brown,155,-179,h2h
2023-10-14 20:00:00,BetUS,Darren Elkins,TJ Brown,155,-185,h2h
2023-10-14 20:00:00,WynnBET,Darren Elkins,TJ Brown,152,-179,h2h
2023-10-14 20:00:00,DraftKings,Darren Elkins,TJ Brown,164,-198,h2h
2023-10-14 20:00:00,FanDuel,Darren Elkins,TJ Brown,168,-220,h2h
2023-10-14 20:00:00,BetMGM,Darren Elkins,TJ Brown,165,-200,h2h
2023-10-14 20:00:00,Caesars,Darren Elkins,TJ Brown,155,-180,h2h
2023-10-14 20:00:00,SuperBook,Darren Elkins,TJ Brown,145,-170,h2h
2023-10-14 20:00:36,BetOnline.ag,Brendon Marotte,Terrance Mckinney,400,-526,h2h
2023-10-14 20:00:36,Unibet,Brendon Marotte,Terrance Mckinney,370,-500,h2h
2023-10-14 20:00:36,BetRivers,Brendon Marotte,Terrance Mckinney,370,-500,h2h
