arb_percent,event_time,Fighter,odds_f1,Opponent,odds_f2,bookmaker_f1,bookmaker_f2,market,Sport
2.0,2023-10-15 20:26:00,Detroit Lions,100,Tampa Bay Buccaneers,100,BetUS,SuperBook,spreads,americanfootball_nfl
2.0,2023-10-23 00:21:00,Miami Dolphins,100,Philadelphia Eagles,100,BetOnline.ag,SuperBook,spreads,americanfootball_nfl
2.0,2023-10-15 17:01:00,Chicago Bears,100,Minnesota Vikings,100,BetUS,Bovada,spreads,americanfootball_nfl
2.0,2023-10-14 19:30:00,Oregon Ducks,100,Washington Huskies,100,FanDuel,Caesars,spreads,americanfootball_ncaaf
2.0,2023-10-15 17:01:00,Cincinnati Bengals,100,Seattle Seahawks,100,SuperBook,BetOnline.ag,spreads,americanfootball_nfl
1.41,2023-10-12 01:07:00,Arizona Diamondbacks,100,Los Angeles Dodgers,245,BetMGM,TwinSpires,spreads,baseball_mlb
1.31,2023-10-11 23:00:00,Carolina Hurricanes,260,Ottawa Senators,108,BetMGM,FanDuel,spreads,icehockey_nhl
0.97,2023-10-13 00:00:00,Nashville Predators,200,Seattle Kraken,215,BetMGM,Caesars,spreads,icehockey_nhl
0.57,2023-10-12 01:07:00,Arizona Diamondbacks,-100000,Los Angeles Dodgers,175,PointsBet (US),WynnBET,h2h,baseball_mlb
0.33,2023-10-11 23:30:00,Boston Bruins,-150,Chicago Blackhawks,100,Caesars,Bovada,spreads,icehockey_nhl
0.3,2023-10-11 23:37:38,Florida International Panthers,260,UTEP Miners,-1250,Caesars,MyBookie.ag,h2h,americanfootball_ncaaf
0.29,2023-10-11 23:00:00,Montréal Canadiens,102,Toronto Maple Leafs,-145,Unibet,Bovada,h2h,icehockey_nhl
0.29,2023-10-11 23:37:38,Florida International Panthers,100,UTEP Miners,-140,BetMGM,FanDuel,spreads,americanfootball_ncaaf
0.27,2023-11-18 21:00:00,Matteo Signani,192,Tyler Denny,-400,MyBookie.ag,BetUS,h2h,boxing_boxing
0.27,2023-10-13 02:30:00,San Jose Sharks,-137,Vegas Golden Knights,100,TwinSpires,DraftKings,spreads,icehockey_nhl
0.26,2023-12-17 04:00:00,Jesse Rodriguez,-215,Sunny Edwards,138,BetUS,FanDuel,h2h,boxing_boxing
0.25,2023-10-12 23:05:00,Buffalo Sabres,104,New York Rangers,-140,FanDuel,Bovada,h2h,icehockey_nhl
0.25,2023-10-25 23:00:00,Houston Rockets,115,Orlando Magic,-162,Unibet,DraftKings,h2h,basketball_nba
0.25,2023-10-26 00:00:00,Memphis Grizzlies,-136,New Orleans Pelicans,102,FanDuel,MyBookie.ag,h2h,basketball_nba
0.24,2023-11-12 03:00:00,Alex Pereira,-160,Jiri Prochazka,115,FanDuel,BetOnline.ag,h2h,mma_mixed_martial_arts
0.24,2023-11-11 15:00:41,Michigan Wolverines,-160,Penn State Nittany Lions,115,FanDuel,Unibet,h2h,americanfootball_ncaaf
0.24,2023-11-05 04:00:00,Shohjahon Ergashev,215,Subriel Matias,-435,MyBookie.ag,BetUS,h2h,boxing_boxing
0.24,2023-10-11 23:07:00,Houston Astros,-100000,Minnesota Twins,410,PointsBet (US),MyBookie.ag,h2h,baseball_mlb
0.24,2023-10-14 23:00:00,Cameron Saaiman,116,Christian Rodriguez,-160,BetRivers,FanDuel,h2h,mma_mixed_martial_arts
0.24,2023-10-12 22:07:00,Atlanta Braves,104,Philadelphia Phillies,-138,MyBookie.ag,FanDuel,spreads,baseball_mlb
0.24,2023-10-21 20:00:00,Isaac Chamberlain,-220,Mikael Lawal,145,FanDuel,DraftKings,h2h,boxing_boxing
0.24,2023-10-14 20:00:00,Darren Elkins,143,TJ Brown,-220,BetRivers,FanDuel,h2h,mma_mixed_martial_arts
0.23,2023-12-25 22:00:00,Boston Celtics,-130,Los Angeles Lakers,100,Caesars,Bovada,h2h,basketball_nba
0.23,2023-10-29 04:00:00,Eduardo Hernandez,155,O'Shaquie Foster,-240,Bovada,DraftKings,h2h,boxing_boxing
0.23,2023-10-15 20:05:00,Las Vegas Raiders,-175,New England Patriots,125,Unibet,PointsBet (US),h2h,americanfootball_nfl
0.23,2023-10-12 23:00:00,Columbus Blue Jackets,-130,Philadelphia Flyers,100,DraftKings,Bovada,h2h,icehockey_nhl
0.23,2023-10-14 20:15:00,Irina Alekseeva,115,Melissa Dixon,-156,Bovada,FanDuel,h2h,mma_mixed_martial_arts
0.23,2023-10-14 23:00:00,Adrian Yanez,100,Jonathan Martinez,-130,WynnBET,Caesars,h2h,mma_mixed_martial_arts
