sport,event_time,bookmaker,team1,odds1,team2,odds2,draw_odds
americanfootball_cfl,2024-11-17 23:00:00,Bovada,Toronto Argonauts,340,Winnipeg Blue Bombers,-460,
americanfootball_ncaaf,2024-11-14 00:00:00,Bovada,Akron Zips,500,Northern Illinois Huskies,-750,
americanfootball_ncaaf,2024-11-14 00:00:00,Bovada,Eastern Michigan Eagles,335,Ohio Bobcats,-450,
americanfootball_ncaaf,2024-11-14 00:00:00,Bovada,Kent State Golden Flashes,3000,Miami (OH) RedHawks,-20000,
americanfootball_ncaaf,2024-11-15 00:30:00,Bovada,East Carolina Pirates,-675,Tulsa Golden Hurricane,460,
americanfootball_ncaaf,2024-11-16 01:00:00,Bovada,Colorado State Rams,-420,Wyoming Cowboys,315,
americanfootball_ncaaf,2024-11-16 01:00:00,Bovada,North Texas Mean Green,-130,UTSA Roadrunners,110,
americanfootball_ncaaf,2024-11-16 02:00:00,Bovada,UCLA Bruins,165,Washington Huskies,-195,
americanfootball_ncaaf,2024-11-16 03:15:00,Bovada,Arizona Wildcats,-115,Houston Cougars,-105,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Arkansas Razorbacks,425,Texas Longhorns,-600,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Clemson Tigers,-400,Pittsburgh Panthers,300,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Colorado Buffaloes,-470,Utah Utes,345,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Liberty Flames,-675,UMass Minutemen,460,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Louisiana Tech Bulldogs,425,Western Kentucky Hilltoppers,-600,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Navy Midshipmen,210,Tulane Green Wave,-250,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Northwestern Wildcats,1600,Ohio State Buckeyes,-10000,
americanfootball_ncaaf,2024-11-16 17:45:00,Bovada,Auburn Tigers,-3300,UL Monroe Warhawks,1100,
americanfootball_ncaaf,2024-11-16 18:00:00,Bovada,Coastal Carolina Chanticleers,260,Marshall Thundering Herd,-320,
americanfootball_ncaaf,2024-11-16 19:00:00,Bovada,Florida Atlantic Owls,110,Temple Owls,-130,
americanfootball_ncaaf,2024-11-16 19:00:00,Bovada,Florida International Panthers,450,Jacksonville State Gamecocks,-650,
americanfootball_ncaaf,2024-11-16 19:30:00,Bovada,Illinois Fighting Illini,-150,Michigan State Spartans,130,
americanfootball_ncaaf,2024-11-16 20:00:00,Bovada,California Golden Bears,-330,Syracuse Orange,265,
americanfootball_ncaaf,2024-11-16 20:00:00,Bovada,Hawaii Rainbow Warriors,-135,Utah State Aggies,115,
americanfootball_ncaaf,2024-11-16 20:00:00,Bovada,Kennesaw State Owls,475,Sam Houston State Bearkats,-700,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Air Force Falcons,140,Oregon State Beavers,-165,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Boston College Eagles,650,SMU Mustangs,-1100,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Charlotte 49ers,125,South Florida Bulls,-145,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Florida Gators,170,LSU Tigers,-200,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Georgia Bulldogs,-400,Tennessee Volunteers,300,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Louisville Cardinals,-1500,Stanford Cardinal,775,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Notre Dame Fighting Irish,-2200,Virginia Cavaliers,1000,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Penn State Nittany Lions,-10000,Purdue Boilermakers,1600,
americanfootball_ncaaf,2024-11-16 21:00:00,Bovada,Baylor Bears,-135,West Virginia Mountaineers,115,
americanfootball_ncaaf,2024-11-16 21:00:00,Bovada,Georgia Southern Eagles,-310,Troy Trojans,255,
americanfootball_ncaaf,2024-11-16 21:00:00,Bovada,James Madison Dukes,-145,Old Dominion Monarchs,125,
americanfootball_ncaaf,2024-11-16 21:00:00,Bovada,Nebraska Cornhuskers,275,USC Trojans,-350,
americanfootball_ncaaf,2024-11-16 21:15:00,Bovada,Missouri Tigers,370,South Carolina Gamecocks,-510,
americanfootball_ncaaf,2024-11-16 22:00:00,Bovada,Arkansas State Red Wolves,110,Georgia State Panthers,-130,
americanfootball_ncaaf,2024-11-16 23:00:00,Bovada,Maryland Terrapins,-230,Rutgers Scarlet Knights,190,
americanfootball_ncaaf,2024-11-17 00:00:00,Bovada,Arizona State Sun Devils,275,Kansas State Wildcats,-350,
americanfootball_ncaaf,2024-11-17 00:00:00,Bovada,Boise State Broncos,-585,San Jose State Spartans,410,
