sport,event_time,bookmaker,team1,odds1,team2,odds2,draw_odds
americanfootball_ncaaf,2024-11-14 00:00:00,Bovada,Akron Zips,500,Northern Illinois Huskies,-750,
americanfootball_ncaaf,2024-11-14 00:00:00,Bovada,Kent State Golden Flashes,3000,Miami (OH) RedHawks,-20000,
americanfootball_ncaaf,2024-11-15 00:30:00,Bovada,East Carolina Pirates,-675,Tulsa Golden Hurricane,460,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Arkansas Razorbacks,425,Texas Longhorns,-600,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Liberty Flames,-675,UMass Minutemen,460,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Louisiana Tech Bulldogs,425,Western Kentucky Hilltoppers,-600,
americanfootball_ncaaf,2024-11-16 17:00:00,Bovada,Northwestern Wildcats,1600,Ohio State Buckeyes,-10000,
americanfootball_ncaaf,2024-11-16 17:45:00,Bovada,Auburn Tigers,-3300,UL Monroe Warhawks,1100,
americanfootball_ncaaf,2024-11-16 19:00:00,Bovada,Florida International Panthers,450,Jacksonville State Gamecocks,-650,
americanfootball_ncaaf,2024-11-16 20:00:00,Bovada,Kennesaw State Owls,475,Sam Houston State Bearkats,-700,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Boston College Eagles,650,SMU Mustangs,-1100,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Louisville Cardinals,-1500,Stanford Cardinal,775,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Notre Dame Fighting Irish,-2200,Virginia Cavaliers,1000,
americanfootball_ncaaf,2024-11-16 20:30:00,Bovada,Penn State Nittany Lions,-10000,Purdue Boilermakers,1600,
americanfootball_ncaaf,2024-11-16 21:15:00,Bovada,Missouri Tigers,370,South Carolina Gamecocks,-510,
americanfootball_ncaaf,2024-11-17 00:00:00,Bovada,Boise State Broncos,-585,San Jose State Spartans,410,
americanfootball_ncaaf,2024-11-17 00:00:00,Bovada,Southern Mississippi Golden Eagles,1300,Texas State Bobcats,-6500,
americanfootball_ncaaf,2024-11-17 00:30:00,Bovada,Oregon Ducks,-650,Wisconsin Badgers,450,
americanfootball_ncaaf,2024-11-17 01:00:00,Bovada,Memphis Tigers,-650,UAB Blazers,450,
americanfootball_ncaaf,2024-11-17 02:30:00,Bovada,New Mexico Lobos,375,Washington State Cougars,-525,
americanfootball_ncaaf,2024-11-17 03:30:00,Bovada,San Diego State Aztecs,800,UNLV Rebels,-1600,
americanfootball_nfl,2024-11-17 18:00:00,Bovada,Detroit Lions,-750,Jacksonville Jaguars,500,
basketball_nba,2024-11-14 00:40:00,Bovada,New Orleans Pelicans,650,Oklahoma City Thunder,-1100,
basketball_ncaab,2024-11-13 23:30:00,Bovada,St. John's Red Storm,-7000,Wagner Seahawks,1300,
basketball_ncaab,2024-11-14 00:00:00,Bovada,Ball State Cardinals,850,Dayton Flyers,-1800,
basketball_ncaab,2024-11-14 00:00:00,Bovada,Central Michigan Chippewas,700,George Mason Patriots,-1200,
basketball_ncaab,2024-11-14 00:00:00,Bovada,Coastal Carolina Chanticleers,1000,NC State Wolfpack,-2200,
basketball_ncaab,2024-11-14 00:00:00,Bovada,Le Moyne Dolphins,1600,UConn Huskies,-10000,
basketball_ncaab,2024-11-14 00:00:00,Bovada,Merrimack Warriors,850,VCU Rams,-1800,
basketball_ncaab,2024-11-14 00:00:00,Bovada,Montana Grizzlies,1300,Tennessee Volunteers,-6500,
basketball_ncaab,2024-11-14 00:00:00,Bovada,South Carolina Upstate Spartans,1400,Wake Forest Demon Deacons,-8000,
basketball_ncaab,2024-11-14 00:30:00,Bovada,Evansville Purple Aces,400,Middle Tennessee Blue Raiders,-575,
basketball_ncaab,2024-11-14 01:00:00,Bovada,Arkansas Razorbacks,-950,Troy Trojans,600,
basketball_ncaab,2024-11-14 01:00:00,Bovada,Auburn Tigers,-5000,Kent State Golden Flashes,1200,
basketball_ncaab,2024-11-14 01:00:00,Bovada,Fairleigh Dickinson Knights,1300,Nebraska Cornhuskers,-7000,
basketball_ncaab,2024-11-14 01:00:00,Bovada,Oral Roberts Golden Eagles,370,Tulsa Golden Hurricane,-510,
basketball_ncaab,2024-11-14 01:00:00,Bovada,Texas Tech Red Raiders,-2800,Wyoming Cowboys,1100,
basketball_ncaab,2024-11-14 02:00:00,Bovada,BYU Cougars,-10000,Queens University Royals,1600,
basketball_ncaab,2024-11-14 02:00:00,Bovada,Colorado Buffaloes,-1600,CSU Fullerton Titans,800,
basketball_ncaab,2024-11-14 02:00:00,Bovada,Creighton Bluejays,-10000,Houston Christian Huskies,1600,
basketball_ncaab,2024-11-14 02:00:00,Bovada,Illinois Fighting Illini,-5000,Oakland Golden Grizzlies,1200,
basketball_ncaab,2024-11-14 03:00:00,Bovada,Fresno St Bulldogs,600,UC Santa Barbara Gauchos,-950,
basketball_ncaab,2024-11-14 03:00:00,Bovada,Long Beach St 49ers,800,San Francisco Dons,-1600,
basketball_ncaab,2024-11-14 03:00:00,Bovada,Nevada Wolf Pack,-1800,Weber State Wildcats,850,
basketball_ncaab,2024-11-14 03:00:00,Bovada,North Dakota St Bison,800,Santa Clara Broncos,-1600,
basketball_ncaab,2024-11-14 04:00:00,Bovada,USC Trojans,-1800,UT-Arlington Mavericks,850,
boxing_boxing,2024-11-16 00:00:00,Bovada,Abel Ramos,650,Mario Barrios,-1200,
