event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2
2024-10-19 17:30:00,LowVig.ag,Dedrek Sanders,Makkasharip Zaynukov,305,-405
2024-10-19 17:30:00,FanDuel,Dedrek Sanders,Makkasharip Zaynukov,240,-340
2024-10-19 17:30:00,BetMGM,Dedrek Sanders,Makkasharip Zaynukov,300,-400
2024-10-19 17:30:00,LowVig.ag,Ibragim Ibragimov,Nacho Campos,-952,650
2024-10-19 17:30:00,FanDuel,Ibragim Ibragimov,Nacho Campos,-700,440
2024-10-19 17:30:00,BetMGM,Ibragim Ibragimov,Nacho Campos,-1000,625
2024-10-19 17:30:00,Bovada,Ibragim Ibragimov,Nacho Campos,-1100,650
2024-10-19 17:30:00,LowVig.ag,Marcos Breno,Raufeon Stots,475,-752
2024-10-19 17:30:00,FanDuel,Marcos Breno,Raufeon Stots,340,-550
2024-10-19 17:30:00,BetMGM,Marcos Breno,Raufeon Stots,475,-700
2024-10-19 19:00:00,DraftKings,Alice Ardelean,Melissa Martinez,110,-130
2024-10-19 19:00:00,LowVig.ag,Alice Ardelean,Melissa Martinez,105,-125
2024-10-19 19:00:00,BetOnline.ag,Alice Ardelean,Melissa Martinez,105,-125
2024-10-19 19:00:00,Bovada,Alice Ardelean,Melissa Martinez,115,-135
2024-10-19 19:00:00,FanDuel,Alice Ardelean,Melissa Martinez,112,-142
2024-10-19 19:00:00,BetRivers,Alice Ardelean,Melissa Martinez,118,-148
2024-10-19 19:00:00,BetMGM,Alice Ardelean,Melissa Martinez,120,-145
2024-10-19 19:00:00,Caesars,Alice Ardelean,Melissa Martinez,115,-135
2024-10-19 20:00:00,Bovada,AJ McKee,Paul Hughes,-185,155
2024-10-19 20:00:00,FanDuel,AJ McKee,Paul Hughes,-200,154
2024-10-19 20:00:00,BetMGM,AJ McKee,Paul Hughes,-175,145
2024-10-19 20:00:00,DraftKings,Austen Lane,Robelis Despaigne,310,-395
2024-10-19 20:00:00,LowVig.ag,Austen Lane,Robelis Despaigne,300,-400
2024-10-19 20:00:00,BetOnline.ag,Austen Lane,Robelis Despaigne,300,-400
2024-10-19 20:00:00,BetRivers,Austen Lane,Robelis Despaigne,310,-420
2024-10-19 20:00:00,Bovada,Austen Lane,Robelis Despaigne,340,-460
2024-10-19 20:00:00,FanDuel,Austen Lane,Robelis Despaigne,300,-430
2024-10-19 20:00:00,BetMGM,Austen Lane,Robelis Despaigne,360,-500
2024-10-19 20:00:00,Caesars,Austen Lane,Robelis Despaigne,320,-420
2024-10-19 20:00:00,LowVig.ag,Cris Cyborg,Larissa Pacheco,115,-135
2024-10-19 20:00:00,FanDuel,Cris Cyborg,Larissa Pacheco,102,-130
2024-10-19 20:00:00,BetMGM,Cris Cyborg,Larissa Pacheco,115,-140
