event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2
2024-07-13 23:15:00,Bovada,Darrius Flowers,Evan Elder,350,-450
2024-07-14 00:15:00,Bovada,Luana Santos,Mariya Agapova,-400,300
2024-07-14 00:45:00,Bovada,Da'Mon Blackshear,Montel Jackson,115,-140
2024-07-14 00:45:00,Bovada,Fatima Kline,Jasmine Jasudavicius,110,-130
2024-07-14 01:45:00,Bovada,Charles Johnson,Joshua Van,195,-240
2024-07-14 02:00:00,Bovada,Ange Loosa,Gabriel Bonfim,275,-350
2024-07-14 02:15:00,Bovada,Abdul Razak Alhassan,Cody Brundage,-175,145
2024-07-14 02:45:00,Bovada,Christian Rodriguez,Julian Erosa,-230,190
2024-07-14 03:30:00,Bovada,Drew Dober,Jean Silva,-105,-115
2024-07-14 04:15:00,Bovada,Muslim Salikhov,Santiago Ponzinibbio,155,-185
2024-07-14 04:45:00,Bovada,Rose Namajunas,Tracy Cortez,-225,185
2024-07-20 23:00:00,Bovada,Amanda Lemos,Virna Jandiroba,110,-130
2024-07-20 23:00:00,Bovada,Bill Algeo,Dooho Choi,-155,130
2024-07-20 23:00:00,Bovada,Brad Tavares,Jun Yong Park,145,-175
2024-07-20 23:00:00,Bovada,Brian Kelleher,Cody Gibson,185,-225
2024-07-20 23:00:00,Bovada,Bruno Silva,Cody Durden,100,-120
2024-07-20 23:00:00,Bovada,Dione Barbosa,Miranda Maverick,170,-210
2024-07-20 23:00:00,Bovada,Kaynan Kruschewsky,Kurt Holobaugh,-150,125
2024-07-20 23:00:00,Bovada,Loik Radzhabov,Trey Ogden,-155,130
2024-07-20 23:00:00,Bovada,Luana Carolina,Lucie Pudilova,100,-120
2024-07-20 23:00:00,Bovada,Mohammed Usman,Thomas Petersen,-150,125
2024-07-20 23:00:00,Bovada,Seung-Woo Choi,Steve Garcia Jr.,115,-140
2024-07-27 22:00:00,Bovada,Chris Duncan,Gregory Rodrigues,-120,100
2024-07-27 23:00:00,Bovada,Bruna Brasil,Molly McCann,225,-285
2024-07-27 23:00:00,Bovada,Caolan Loughran,Ramon Taveras,-200,165
2024-07-27 23:00:00,Bovada,Daniel Pineda,Nathaniel Wood,290,-435
2024-07-27 23:00:00,Bovada,Kiefer Crosbie,Sam Patterson,275,-350
2024-07-27 23:00:00,Bovada,Lukasz Brzeski,Michael Parkin,175,-215
2024-07-27 23:00:00,Bovada,Marcin Prachnio,Modestas Bukauskas,120,-145
2024-07-27 23:00:00,Bovada,Oban Elliott,Preston Parsons,130,-155
2024-07-27 23:00:00,Bovada,Ravena Oliveira,Shauna Bannon,-130,110
2024-07-28 02:00:00,Bovada,Arnold Allen,Giga Chikadze,-260,210
2024-07-28 02:00:00,Bovada,Bobby Green,Paddy Pimblett,-130,110
2024-07-28 02:00:00,Bovada,Manel Kape,Muhammad Mokaev,100,-120
2024-07-28 02:30:00,Bovada,Curtis Blaydes,Tom Aspinall,250,-310
2024-07-28 03:00:00,Bovada,Belal Muhammad,Leon Edwards,170,-210
2024-08-03 19:15:00,Bovada,Michael Chiesa,Tony Ferguson,-375,290
2024-08-03 19:45:00,Bovada,Lupita Godinez,Mackenzie Dern,-120,100
2024-08-03 20:15:00,Bovada,Deiveson Figueiredo,Marlon Vera,-165,125
2024-08-03 20:45:00,Bovada,Nick Diaz,Vicente Luque,340,-525
2024-08-03 21:15:00,Bovada,Cory Sandhagen,Umar Nurmagomedov,200,-250
