event_time,bookmaker,Fighter,Opponent,odds_f1,odds_f2
2024-11-16 17:00:00,Bovada,Adam Brysz,Nicolae Bivol,-150,115
2024-11-16 17:00:00,Bovada,Andrzej Grzebyk,Wiktor Zalewski,-105,-125
2024-11-16 17:00:00,Bovada,Aymard Guih,Dawid Smielowski,185,-250
2024-11-16 17:00:00,Bovada,Damian Janikowski,Piotr Kuberski,230,-325
2024-11-16 17:00:00,Bovada,Igor Michaliszyn,Madars Fleminas,-205,155
2024-11-16 18:00:00,Bovada,Kacper Formela,Robert Ruchala,200,-275
2024-11-16 18:45:00,Bovada,Darko Stosic,Phil De Fries,275,-400
2024-11-16 19:00:00,Bovada,Adrian Bartosinski,Mamed Khalidov,-360,255
2024-11-16 20:00:00,Bovada,Bassil Hafez,Oban Elliott,230,-280
2024-11-16 20:00:00,Bovada,Damon Jackson,Jim Miller,-172,147
2024-11-16 20:00:00,Bovada,Karine Silva,Viviane Araujo,-290,240
2024-11-16 23:00:00,Bovada,Eduarda Moura,Veronica Hardy,112,-133
2024-11-17 00:15:00,Bovada,Mickey Gall,Ramiz Brahimaj,-140,120
2024-11-17 00:45:00,Bovada,Jhonata Diniz,Marcin Tybura,122,-142
2024-11-17 02:15:00,Bovada,Chris Weidman,Eryk Anders,100,-120
2024-11-17 02:45:00,Bovada,Jonathan Martinez,Marcus McGhee,120,-140
2024-11-17 03:15:00,Bovada,James Llontop,Mauricio Ruffy,575,-900
2024-11-17 04:15:00,Bovada,Bo Nickal,Paul Craig,-1500,775
2024-11-17 04:45:00,Bovada,Charles Oliveira,Michael Chandler,-260,215
2024-11-17 05:30:00,Bovada,Jon Jones,Stipe Miocic,-675,460
2024-12-08 03:00:00,Bovada,Alexander Volkov,Ciryl Gane,215,-260
