FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,URL,Has_fight,AGE_DAYS,AGE
Danny Abbadi,71.0,155.0,,Orthodox,1983-07-03,http://ufcstats.com/fighter-details/15df64c02b6b0fde,True,15074.0,41
David Abbott,72.0,265.0,,Switch,,http://ufcstats.com/fighter-details/b361180739bed4b0,True,,0
Hamdy Abdelwahab,74.0,264.0,72.0,Southpaw,1993-01-22,http://ufcstats.com/fighter-details/3329d692aea4dc28,True,11583.0,31
Shamil Abdurakhimov,75.0,235.0,76.0,Orthodox,1981-09-02,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,True,15743.0,43
Daichi Abe,71.0,170.0,71.0,Orthodox,1991-11-27,http://ufcstats.com/fighter-details/5140122c3eecd307,True,12005.0,32
Papy Abedi,71.0,185.0,,Southpaw,1978-06-30,http://ufcstats.com/fighter-details/c9f6385af6df66d7,True,16903.0,46
Ricardo Abreu,71.0,185.0,,Orthodox,1984-04-27,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,True,14775.0,40
Klidson Abreu,72.0,205.0,74.0,Orthodox,1992-12-24,http://ufcstats.com/fighter-details/7279654c7674cd24,True,11612.0,31
Scott Adams,72.0,225.0,,Southpaw,,http://ufcstats.com/fighter-details/2620f3eb21c79614,True,,0
Juan Adams,77.0,265.0,80.0,Orthodox,1992-01-16,http://ufcstats.com/fighter-details/83b00f7597e5ac83,True,11955.0,32
Zarrukh Adashev,65.0,125.0,65.0,Southpaw,1992-07-29,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,True,11760.0,32
Israel Adesanya,76.0,185.0,80.0,Switch,1989-07-22,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,True,12863.0,35
Sam Adkins,75.0,225.0,,Orthodox,1965-04-26,http://ufcstats.com/fighter-details/0e9869d712e81f8f,True,21716.0,59
Nick Agallar,68.0,155.0,,Orthodox,1979-01-13,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,True,16706.0,45
Mariya Agapova,66.0,125.0,68.0,Southpaw,1997-04-07,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,True,10047.0,27
Marcelo Aguiar,70.0,170.0,,Orthodox,,http://ufcstats.com/fighter-details/44aa652b181bcf68,True,,0
Jessica Aguilar,63.0,115.0,63.0,Orthodox,1982-05-08,http://ufcstats.com/fighter-details/8f382b3baa954d2a,True,15495.0,42
Kevin Aguilar,67.0,155.0,73.0,Orthodox,1988-09-07,http://ufcstats.com/fighter-details/cf946e03ba2e7666,True,13181.0,36
Jesus Aguilar,64.0,125.0,62.0,Orthodox,1996-03-13,http://ufcstats.com/fighter-details/c051c2e12d692b8a,True,10437.0,28
Christian Aguilera,69.0,170.0,72.0,Switch,1991-11-25,http://ufcstats.com/fighter-details/ae071698e1a3ccd4,True,12007.0,32
Nick Aguirre,69.0,135.0,74.0,Southpaw,1996-01-15,http://ufcstats.com/fighter-details/0978385b2bd9ef9b,True,10495.0,28
Omari Akhmedov,72.0,185.0,73.0,Orthodox,1987-10-12,http://ufcstats.com/fighter-details/16690d100f995f8f,True,13512.0,36
Yoshihiro Akiyama,70.0,170.0,75.0,Orthodox,1975-07-29,http://ufcstats.com/fighter-details/b0550072e5f0afa7,True,17970.0,49
Rostem Akman,70.0,170.0,72.0,Switch,1991-12-19,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,True,11983.0,32
Razak Al-Hassan,74.0,205.0,,Orthodox,1982-05-14,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,True,15489.0,42
Abdul-Kareem Al-Selwady,68.0,155.0,69.0,Orthodox,1995-04-10,http://ufcstats.com/fighter-details/597499ac7a5aac62,True,10775.0,29
Mostapha Al-Turk,74.0,245.0,77.0,Orthodox,1973-07-14,http://ufcstats.com/fighter-details/1cf1310684a841f5,True,18715.0,51
Alatengheili,65.0,135.0,66.0,Orthodox,1991-12-14,http://ufcstats.com/fighter-details/1897b7b913736a7c,True,11988.0,32
Amir Albazi,65.0,125.0,68.0,Orthodox,1993-10-27,http://ufcstats.com/fighter-details/6d35bf94f7d30241,True,11305.0,30
John Albert,68.0,135.0,68.0,Orthodox,1986-10-13,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,True,13876.0,37
Junior Albini,75.0,264.0,74.0,Orthodox,1991-03-15,http://ufcstats.com/fighter-details/c482c8605455a213,True,12262.0,33
Wes Albritton,70.0,188.0,,Orthodox,,http://ufcstats.com/fighter-details/184b955181bdef52,True,,0
Aleksandra Albu,62.0,115.0,63.0,Orthodox,1990-07-14,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,True,12506.0,34
Iuri Alcantara,69.0,135.0,71.0,Southpaw,1980-08-04,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,True,16137.0,44
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,http://ufcstats.com/fighter-details/7c6e87729e824ef4,True,15301.0,41
Alfonso Alcarez,63.0,145.0,,,1970-06-10,http://ufcstats.com/fighter-details/1e38bba6738b7b10,True,19845.0,54
Gilbert Aldana,73.0,250.0,,Orthodox,1977-08-25,http://ufcstats.com/fighter-details/d26934530dc5b248,True,17212.0,47
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,http://ufcstats.com/fighter-details/578ef12674df1e6a,True,13346.0,36
Hector Aldana,71.0,170.0,72.0,Orthodox,1988-08-17,http://ufcstats.com/fighter-details/c487223b0289bda9,True,13202.0,36
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,True,13910.0,38
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,http://ufcstats.com/fighter-details/6fd953151d981979,True,11698.0,32
Irina Alekseeva,68.0,135.0,67.0,Orthodox,1990-06-27,http://ufcstats.com/fighter-details/103e2e33a60683e1,True,12523.0,34
Talita Alencar,61.0,115.0,58.0,Orthodox,1990-10-17,http://ufcstats.com/fighter-details/d35298b6df168456,True,12411.0,33
Jim Alers,69.0,145.0,71.0,Orthodox,1986-10-14,http://ufcstats.com/fighter-details/fe5a9547479396ab,True,13875.0,37
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,True,16533.0,45
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,http://ufcstats.com/fighter-details/0541480fbf719d86,True,19194.0,52
Lucas Alexander,71.0,145.0,73.0,Orthodox,1995-07-28,http://ufcstats.com/fighter-details/11583163f45c7b31,True,10666.0,29
Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,1989-05-05,http://ufcstats.com/fighter-details/d53482bef23235ba,True,12941.0,35
Bill Algeo,72.0,145.0,73.0,Switch,1989-06-09,http://ufcstats.com/fighter-details/9abc648e76c4493a,True,12906.0,35
Royce Alger,70.0,199.0,,Orthodox,,http://ufcstats.com/fighter-details/669a3cb6e394f515,True,,0
Sultan Aliev,71.0,170.0,74.0,Orthodox,1984-09-17,http://ufcstats.com/fighter-details/e70de1859b7ee78e,True,14632.0,40
Nurullo Aliev,70.0,155.0,72.0,Orthodox,2000-12-08,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,True,8706.0,23
Ikram Aliskerov,72.0,185.0,76.0,Southpaw,1992-12-07,http://ufcstats.com/fighter-details/b07aed698fba8624,True,11629.0,31
John Allan,73.0,205.0,75.0,Orthodox,1993-02-22,http://ufcstats.com/fighter-details/6ebe96a116e79e52,True,11552.0,31
