FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attempts_fighter,TOTAL STR._landed_fighter,TOTAL STR._attempts_fighter,TD_landed_fighter,TD_attempts_fighter,HEAD_landed_fighter,HEAD_attempts_fighter,BODY_landed_fighter,BODY_attempts_fighter,LEG_landed_fighter,LEG_attempts_fighter,DISTANCE_landed_fighter,DISTANCE_attempts_fighter,CLINCH_landed_fighter,CLINCH_attempts_fighter,GROUND_landed_fighter,GROUND_attempts_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attempts_opponent,TOTAL STR._landed_opponent,TOTAL STR._attempts_opponent,TD_landed_opponent,TD_attempts_opponent,HEAD_landed_opponent,HEAD_attempts_opponent,BODY_landed_opponent,BODY_attempts_opponent,LEG_landed_opponent,LEG_attempts_opponent,DISTANCE_landed_opponent,DISTANCE_attempts_opponent,CLINCH_landed_opponent,CLINCH_attempts_opponent,GROUND_landed_opponent,GROUND_attempts_opponent,form_score_fighter
AJ Cunningham,70.0,145.0,71.0,Orthodox,1,0,0,1,0,276,0.0,0.0,0.0,26,36,75,36,77,0,0,15,49,10,14,11,12,34,72,2,3,0,0,1.0,0.0,0.0,27.0,60.0,91.0,63.0,95.0,2.0,3.0,38.0,66.0,21.0,23.0,1.0,2.0,54.0,84.0,2.0,2.0,4.0,5.0,0.0
AJ Dobson,73.0,185.0,76.0,Orthodox,4,1,0,3,0,2973,0.0,0.0,1.0,424,192,431,250,508,5,6,105,326,29,40,58,65,167,389,18,29,7,13,1.0,0.0,0.0,606.0,278.0,516.0,391.0,658.0,7.0,20.0,131.0,350.0,58.0,66.0,89.0,100.0,200.0,406.0,21.0,30.0,57.0,80.0,0.33
AJ Fletcher,70.0,170.0,67.0,Switch,4,1,0,3,0,2769,0.0,3.0,3.0,612,153,313,242,417,4,12,107,251,17,27,29,35,131,275,12,20,10,18,0.0,1.0,1.0,951.0,220.0,405.0,373.0,582.0,6.0,9.0,131.0,286.0,70.0,97.0,19.0,22.0,150.0,310.0,30.0,41.0,40.0,54.0,0.53
Aalon Cruz,72.0,145.0,78.0,Switch,2,0,0,2,0,185,0.0,0.0,0.0,16,2,15,2,15,0,3,2,6,0,5,0,4,2,15,0,0,0,0,1.0,0.0,0.0,63.0,65.0,92.0,84.0,112.0,0.0,0.0,62.0,88.0,1.0,2.0,2.0,2.0,9.0,14.0,7.0,8.0,49.0,70.0,0.0
Aaron Brink,75.0,205.0,72.0,Orthodox,1,0,0,1,0,55,0.0,0.0,0.0,4,0,5,0,5,0,1,0,5,0,0,0,0,0,3,0,2,0,0,0.0,2.0,0.0,13.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
Aaron Phillips,69.0,135.0,71.0,Southpaw,4,0,0,4,0,3149,0.0,2.0,1.0,434,79,148,425,536,3,6,36,93,38,45,5,10,44,102,22,27,13,19,0.0,2.0,2.0,1805.0,192.0,340.0,326.0,495.0,14.0,25.0,130.0,252.0,28.0,44.0,34.0,44.0,68.0,153.0,31.0,40.0,93.0,147.0,0.0
Aaron Riley,68.0,155.0,69.0,Southpaw,9,3,0,6,0,5722,0.0,1.0,0.0,1117,314,904,581,1190,8,23,147,653,92,142,75,109,190,714,102,160,22,30,2.0,0.0,0.0,406.0,373.0,954.0,503.0,1089.0,11.0,28.0,246.0,776.0,99.0,124.0,28.0,54.0,259.0,761.0,100.0,168.0,14.0,25.0,0.37
Aaron Rosa,76.0,205.0,77.0,Orthodox,3,1,0,2,0,1714,0.0,0.0,0.0,60,132,290,407,598,0,1,81,233,42,47,9,10,80,227,52,63,0,0,0.0,0.0,0.0,798.0,129.0,260.0,270.0,429.0,2.0,14.0,92.0,216.0,16.0,19.0,21.0,25.0,84.0,206.0,30.0,38.0,15.0,16.0,0.33
Aaron Simpson,72.0,170.0,73.0,Orthodox,11,7,0,4,0,7603,6.0,4.0,0.0,3208,454,860,800,1265,32,92,253,608,97,142,104,110,164,454,184,252,106,154,1.0,2.0,1.0,975.0,320.0,730.0,493.0,914.0,5.0,30.0,192.0,576.0,52.0,66.0,76.0,88.0,150.0,473.0,145.0,229.0,25.0,28.0,0.82
Aaron Wilkinson,70.0,155.0,72.0,Orthodox,1,0,0,1,0,123,0.0,0.0,1.0,64,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,2.0,2.0,52.0,0.0,2.0,8.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
